packer-ubuntu-1765036511                                    melodic-furnace-462121-n7                                                                    READY
ubuntu-accelerator-2204-amd64-with-nvidia-570-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-amd64-with-nvidia-570                 READY
ubuntu-accelerator-2204-amd64-with-nvidia-570-v20251218     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-amd64-with-nvidia-570                 READY
ubuntu-accelerator-2204-amd64-with-nvidia-580-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-amd64-with-nvidia-580                 READY
ubuntu-accelerator-2204-amd64-with-nvidia-580-v20251218     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-amd64-with-nvidia-580                 READY
ubuntu-accelerator-2204-arm64-with-nvidia-570-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-arm64-with-nvidia-570                 READY
ubuntu-accelerator-2204-arm64-with-nvidia-570-v20251218     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-arm64-with-nvidia-570                 READY
ubuntu-accelerator-2204-arm64-with-nvidia-580-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-arm64-with-nvidia-580                 READY
ubuntu-accelerator-2204-arm64-with-nvidia-580-v20251218     ubuntu-os-accelerator-images   ubuntu-accelerator-2204-arm64-with-nvidia-580                 READY
ubuntu-accelerator-2404-amd64-with-nvidia-570-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2404-amd64-with-nvidia-570                 READY
ubuntu-accelerator-2404-amd64-with-nvidia-580-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2404-amd64-with-nvidia-580                 READY
ubuntu-accelerator-2404-arm64-with-nvidia-570-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2404-arm64-with-nvidia-570                 READY
ubuntu-accelerator-2404-arm64-with-nvidia-580-v20251217     ubuntu-os-accelerator-images   ubuntu-accelerator-2404-arm64-with-nvidia-580                 READY
ubuntu-minimal-pro-2004-focal-arm64-v20251217a              ubuntu-os-pro-cloud            ubuntu-minimal-pro-2004-lts-arm64                             READY
ubuntu-minimal-pro-2004-focal-v20251217a                    ubuntu-os-pro-cloud            ubuntu-minimal-pro-2004-lts                                   READY
ubuntu-minimal-pro-2204-jammy-arm64-v20251217               ubuntu-os-pro-cloud            ubuntu-minimal-pro-2204-lts-arm64                             READY
ubuntu-minimal-pro-2204-jammy-v20251217                     ubuntu-os-pro-cloud            ubuntu-minimal-pro-2204-lts                                   READY
ubuntu-minimal-pro-2404-noble-amd64-v20251217               ubuntu-os-pro-cloud            ubuntu-minimal-pro-2404-lts-amd64                             READY
